Personality,Description,😎,🤣,🤝,👍,🥺,🧨,🖕,😃,❤️,☠️
Degen,Interested only in negative bluff. Avoid boring bluff,Neutral,Neutral,Avoid,Avoid,Avoid,Interested,Interested,Neutral,Neutral,Interested
Talkative,Interested only in face bluff and heart. Avoid bomb and skull,Interested,Interested,Neutral,Neutral,Neutral,Avoid,Neutral,Interested,Interested,Avoid
Fiddly,Interested only in hands bluff.,Neutral,Neutral,Interested,Interested,Neutral,Neutral,Interested,Neutral,Neutral,Neutral
Flirty,"Especially Interested in flirty and cool emoji, avoid taunt, skull, bomb",Interested,Neutral,Neutral,Neutral,Neutral,Avoid,Avoid,Neutral,Interested,Avoid
Bully,"Interested in handshake and puppy eyes emoji, Avoid heart",Neutral,Neutral,Interested,Neutral,Interested,Neutral,Interested,Neutral,Avoid,Neutral
Fun Guy,"Interested only in laugh emoji and smiley, avoid taunt and skull",Neutral,Interested,Neutral,Neutral,Neutral,Neutral,Avoid,Interested,Neutral,Avoid
Daredevil,Interested only in bomb an skull emoji.,Neutral,Neutral,Neutral,Neutral,Neutral,Interested,Interested,Interested,Neutral,Interested
Vengeful,"Interested in taunt emoji, avoid friendly emoji",Neutral,Interested,Neutral,Avoid,Avoid,Interested,Interested,Neutral,Avoid,Interested
Paranoid,Scared of every bluff,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid
Skeptical,Interpret everything in opposite. Ignore taunt,Interested,Interested,Avoid,Avoid,Avoid,Interested,Neutral,Avoid,Avoid,Interested
Ungrateful,Interested only in sad emoji. Avoid like emoji. Interest in taunt,Neutral,Neutral,Avoid,Avoid,Neutral,Neutral,Interested,Neutral,Neutral,Neutral
Monk,Ignore all bluffs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Eager,Interested in every bluff,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested
Introvert,"Ignore cool and laugh emoticon, smiley",Avoid,Avoid,Neutral,Neutral,Neutral,Avoid,Neutral,Avoid,Neutral,Avoid