Personality,Description,Frequency to use bluff,How they like pick bluff to use,When see 😎 on enemy’s cell,When see 🤣 on enemy’s cell,When see 🤝 on enemy’s cell,When see 👍 on enemy’s cell,When see 🥺 on enemy’s cell,When see🧨 on enemy’s cell,When see 🖕 on enemy’s cell,When see 😃 on enemy’s cell,When see ❤️ on enemy’s cell,When see ☠️ on enemy’s cell
Degen,Interested only in negative bluff. Avoid boring bluff,Normal,"Prefer bomb, skull, middle finger/poop — mourn important loss — like emoji when they can destroy — clear all their emoji after start of their next turn.",Neutral,Neutral,Avoid,Avoid,Avoid,Interested,Interested,Neutral,Neutral,Interested
Talkative,Interested only in face bluff and heart. Avoid bomb and skull,Often,"Prefer sunglassess, smile, laugh. Never use middle finger/poop. Sometimes use bluff on their card unnecessarily for fun — sunglasses emoji when they can destroy",Interested,Interested,Neutral,Neutral,Neutral,Avoid,Neutral,Interested,Interested,Avoid
Fiddly,Interested only in hands bluff.,Normal,Mislead opponent to dead cell — mourn important loss — clear all their emoji after start of their next turn.,Neutral,Neutral,Interested,Interested,Neutral,Neutral,Interested,Neutral,Neutral,Neutral
Flirty,"Especially Interested in flirty and cool emoji, avoid taunt, skull, bomb",Normal,Preper Heart or puppy eyes —never use middle finger/poop — puppy eyes emoji when they can destroy,Interested,Neutral,Neutral,Neutral,Neutral,Avoid,Avoid,Neutral,Interested,Avoid
Bully,"Interested in handshake and puppy eyes emoji, Avoid heart",Unlikely,Middle finger/poop —- mourn every of his loss — bomb emoji when they can destroy,Neutral,Neutral,Interested,Neutral,Interested,Neutral,Interested,Neutral,Avoid,Neutral
Fun Guy,"Interested only in laugh emoji and smiley, avoid taunt and skull",Often,"Mislead opponent to dead cell and traps. Prefer laugh/smile/like/handshake. Sometimes use bluff on their card unnecessarily for fun, laugh when they can destroy",Neutral,Interested,Neutral,Neutral,Neutral,Neutral,Avoid,Interested,Neutral,Avoid
Daredevil,Interested only in bomb an skull emoji.,Often,"Prefer bomb, skull — bomb emoji when they can destroy",Neutral,Neutral,Neutral,Neutral,Neutral,Interested,Interested,Interested,Neutral,Interested
Vengeful,"Interested in taunt emoji, avoid friendly emoji",Unlikely,"Use bluff to mourn only. Sometimes middle finger, sometimes skull — skull emoji when they can destroy",Neutral,Interested,Neutral,Avoid,Avoid,Interested,Interested,Neutral,Avoid,Interested
Paranoid,Scared of every bluff,Never,Never,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid
Skeptical,Interpret everything in opposite. Ignore taunt,Never,Never,Interested,Interested,Avoid,Avoid,Avoid,Interested,Neutral,Avoid,Avoid,Interested
Ungrateful,Interested only in sad emoji. Avoid like emoji. Interest in taunt,Unlikely,Not preferring any bluff in particular — mourn important loss,Neutral,Neutral,Avoid,Avoid,Neutral,Neutral,Interested,Neutral,Neutral,Neutral
Monk,Ignore all bluffs,Unlikely,Prefer like/handshake — handshake emoji when they can destroy — clear all their emoji after start of their next turn.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Eager,Interested in every bluff,Normal,Use any bluff possible randomly and use bluff on many card unncessarily,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Interested
Introvert,"Ignore cool and laugh emoticon, smiley",Never,Never,Avoid,Avoid,Neutral,Neutral,Neutral,Avoid,Neutral,Avoid,Neutral,Avoid